Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,28.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,4.0
Maternidade Frei Damiao,14.0,2.0
Hospital Municipal Santa Isabel,14.0,16.0
Instituto De Saude Elpidio De Almeida,10.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,2.0
Hospital Universitario Lauro Wanderley,9.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,7.0,0.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,7.0
Hospital Regional de Guarabira,6.0,1.0
Prontovida,6.0,22.0
Complexo Hospitalar Dep Janduhy Carneiro,5.0,3.0
Hospital Infantil Noaldo Leite,5.0,0.0
Maternidade Frei Damiao - UNIDADE II,4.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,3.0,1.0
Hospital de Trauma de Campina Grande,3.0,2.0
Extensão CHDJC (Hosp Noaldo Leite),2.0,5.0
NOVO Hospital de Clínicas do Estado da Paraíba,2.0,13.0
Hospital Municipal Valentina,2.0,1.0
Hospital Regional De Cajazeiras,1.0,0.0
Maternidade Frei Damiao - UNIDADE I,0.0,0.0
Hospital São Vicente de Paulo,0.0,4.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
Hospital João XXIII,0.0,4.0
Hospital Geral de Mamanguape,-3.0,3.0
Hospital Wenceslau Lopes,-4.0,-1.0
Hospital Municipal Pedro I,-4.0,26.0
