Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,37.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Prontovida,25.0,32.0
Maternidade Frei Damiao - UNIDADE II,20.0,0.0
Maternidade Frei Damiao,18.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,16.0,5.0
NOVO Hospital de Clínicas do Estado da Paraíba,15.0,19.0
Instituto De Saude Elpidio De Almeida,14.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,13.0,7.0
Hospital Municipal Santa Isabel,13.0,25.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Wenceslau Lopes,12.0,1.0
Hospital Municipal Pedro I,11.0,33.0
Hospital de Trauma de Campina Grande,11.0,3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,11.0,3.0
Hospital Geral de Mamanguape,10.0,0.0
Maternidade Frei Damiao - UNIDADE I,8.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),8.0,7.0
Hospital Universitario Lauro Wanderley,7.0,1.0
Hospital Regional de Guarabira,7.0,3.0
Hospital Regional De Cajazeiras,6.0,7.0
Hospital Universitário HUJB,4.0,0.0
Hospital Infantil Noaldo Leite,4.0,1.0
Hospital São Vicente de Paulo,2.0,1.0
Hospital Distrital Senador Ruy Carneiro,2.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,2.0,1.0
Hospital Municipal Valentina,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,6.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital João XXIII,0.0,4.0
