Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,41.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,13.0,7.0
Maternidade Frei Damiao - UNIDADE I,13.0,1.0
Maternidade Frei Damiao - UNIDADE II,13.0,2.0
Maternidade Frei Damiao,13.0,0.0
Prontovida,13.0,34.0
Hospital de Trauma de Campina Grande,13.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Municipal Santa Isabel,12.0,47.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,6.0
Complexo Hospitalar Dep Janduhy Carneiro,10.0,2.0
Instituto De Saude Elpidio De Almeida,10.0,6.0
NOVO Hospital de Clínicas do Estado da Paraíba,10.0,14.0
Hospital Geral de Mamanguape,7.0,2.0
Hospital Regional de Guarabira,7.0,3.0
Hospital Universitario Lauro Wanderley,7.0,11.0
Hospital Wenceslau Lopes,6.0,0.0
Hospital Infantil Noaldo Leite,5.0,1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,4.0
Hospital Metropolitano Dom Jose Maria Pires,3.0,1.0
Hospital Municipal Pedro I,2.0,30.0
Hospital São Vicente de Paulo,2.0,2.0
Hospital Regional De Cajazeiras,2.0,1.0
Hospital Distrital Senador Ruy Carneiro,1.0,1.0
Hospital Municipal Valentina,1.0,3.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital João XXIII,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
