Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,46.0,0.0
Hospital Municipal Pedro I,42.0,16.0
Maternidade Frei Damiao - UNIDADE II,31.0,4.0
Prontovida,29.0,28.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Maternidade Frei Damiao - UNIDADE I,22.0,1.0
Hospital Municipal Santa Isabel,18.0,32.0
Hospital de Trauma de Campina Grande,18.0,-3.0
Maternidade Frei Damiao,17.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,16.0,3.0
Complexo Hospitalar Dep Janduhy Carneiro,15.0,8.0
Complexo Hospitalar de Mangabeira (Ortotrauma),12.0,5.0
Instituto De Saude Elpidio De Almeida,9.0,3.0
Extensão CHDJC (Hosp Noaldo Leite),9.0,5.0
Hospital Geral de Mamanguape,8.0,6.0
Hospital Regional De Cajazeiras,7.0,1.0
Hospital Universitario Lauro Wanderley,7.0,8.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,7.0
Hospital João XXIII,6.0,4.0
Antônio Targino,5.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,5.0,14.0
Hospital Regional de Guarabira,4.0,-2.0
Hospital Municipal Valentina,4.0,3.0
Hospital Wenceslau Lopes,3.0,0.0
Hospital Infantil Noaldo Leite,3.0,1.0
Hospital Distrital Senador Ruy Carneiro,1.0,2.0
Hospital Regional de Monteiro,1.0,2.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital Universitário HUJB,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital São Vicente de Paulo,0.0,5.0
Hospital de Clínicas do Estado da Paraíba,-4.0,22.0
