Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,70.0,42.0
Hospital São Luis,50.0,0.0
Maternidade Frei Damiao - UNIDADE II,47.0,9.0
Hospital Municipal Santa Isabel,35.0,64.0
Maternidade Frei Damiao - UNIDADE I,31.0,6.0
Complexo Hospitalar Dep Janduhy Carneiro,30.0,18.0
Hospital de Clínicas do Estado da Paraíba,30.0,53.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Prontovida,25.0,41.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,25.0,14.0
Maternidade Frei Damiao,20.0,2.0
Hospital de Trauma de Campina Grande,20.0,4.0
Hospital Wenceslau Lopes,17.0,9.0
Hospital Metropolitano Dom Jose Maria Pires,16.0,32.0
Instituto De Saude Elpidio De Almeida,15.0,6.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital Universitario Lauro Wanderley,14.0,11.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,13.0,18.0
Hospital Geral de Mamanguape,13.0,7.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Distrital Senador Ruy Carneiro,11.0,6.0
Hospital Regional De Cajazeiras,10.0,9.0
Hospital João XXIII,10.0,5.0
Hospital Regional de Guarabira,9.0,4.0
Hospital Regional de Monteiro,9.0,5.0
Hospital Infantil Noaldo Leite,5.0,2.0
Antônio Targino,5.0,9.0
Hospital Universitário HUJB,4.0,0.0
Hospital Municipal Valentina,3.0,4.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital São Vicente de Paulo,0.0,6.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,6.0
