Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,38.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,3.0
Hospital Municipal Pedro I,25.0,17.0
Maternidade Frei Damiao - UNIDADE II,21.0,0.0
Prontovida,18.0,21.0
Maternidade Frei Damiao - UNIDADE I,13.0,0.0
Hospital Municipal Santa Isabel,12.0,24.0
Maternidade Frei Damiao,12.0,3.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,11.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,8.0
Hospital de Trauma de Campina Grande,9.0,-2.0
Instituto De Saude Elpidio De Almeida,9.0,2.0
Hospital Municipal Valentina,8.0,3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,7.0,2.0
Hospital Wenceslau Lopes,6.0,0.0
Antônio Targino,5.0,6.0
Hospital Regional de Guarabira,5.0,-1.0
Hospital Regional De Cajazeiras,4.0,0.0
Hospital Infantil Noaldo Leite,4.0,0.0
Hospital Universitario Lauro Wanderley,4.0,10.0
Hospital Metropolitano Dom Jose Maria Pires,2.0,13.0
Extensão CHDJC (Hosp Noaldo Leite),2.0,5.0
Hospital Distrital Senador Ruy Carneiro,1.0,0.0
Hospital Universitário HUJB,0.0,0.0
Hospital São Vicente de Paulo,0.0,7.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,4.0
Hospital Geral de Mamanguape,-1.0,0.0
NOVO Hospital de Clínicas do Estado da Paraíba,-10.0,15.0
