Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,41.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Prontovida,19.0,42.0
Maternidade Frei Damiao,19.0,0.0
Hospital de Trauma de Campina Grande,19.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,18.0,15.0
Maternidade Frei Damiao - UNIDADE II,18.0,4.0
Hospital Municipal Pedro I,18.0,44.0
Maternidade Frei Damiao - UNIDADE I,16.0,2.0
Hospital Municipal Santa Isabel,14.0,37.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
NOVO Hospital de Clínicas do Estado da Paraíba,11.0,23.0
Instituto De Saude Elpidio De Almeida,11.0,5.0
Hospital Regional De Cajazeiras,10.0,4.0
Hospital Geral de Mamanguape,10.0,4.0
Hospital Wenceslau Lopes,10.0,4.0
Hospital Universitario Lauro Wanderley,10.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,9.0,8.0
Complexo Hospitalar de Mangabeira (Ortotrauma),8.0,7.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,7.0,1.0
Hospital Regional de Guarabira,6.0,1.0
Hospital São Vicente de Paulo,5.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital Distrital Senador Ruy Carneiro,4.0,5.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,14.0
Hospital Infantil Noaldo Leite,4.0,2.0
Hospital Municipal Valentina,1.0,1.0
Hospital João XXIII,0.0,6.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Hospital Universitário Alcides Carneiro,0.0,5.0
