Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,40.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE II,26.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,21.0,16.0
Maternidade Frei Damiao,18.0,1.0
Prontovida,17.0,34.0
Instituto De Saude Elpidio De Almeida,16.0,6.0
Maternidade Frei Damiao - UNIDADE I,14.0,2.0
Hospital de Trauma de Campina Grande,13.0,-2.0
NOVO Hospital de Clínicas do Estado da Paraíba,13.0,20.0
Hospital Metropolitano Dom Jose Maria Pires,13.0,5.0
Hospital Municipal Pedro I,12.0,31.0
Hospital Geral de Mamanguape,12.0,2.0
Hospital Municipal Santa Isabel,12.0,30.0
Extensão CHDJC (Hosp Noaldo Leite),11.0,5.0
Hospital Wenceslau Lopes,11.0,2.0
Hospital Regional De Cajazeiras,9.0,8.0
Hospital Regional de Guarabira,8.0,2.0
Hospital Universitario Lauro Wanderley,8.0,3.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,8.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,4.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,8.0
Hospital Universitário HUJB,4.0,0.0
Hospital Infantil Noaldo Leite,3.0,1.0
Hospital Municipal Valentina,2.0,2.0
Hospital Distrital Senador Ruy Carneiro,2.0,0.0
Hospital São Vicente de Paulo,1.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital João XXIII,0.0,3.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
