Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,30.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,4.0
Maternidade Frei Damiao,15.0,3.0
Hospital Municipal Santa Isabel,12.0,15.0
Complexo Hospitalar Dep Janduhy Carneiro,11.0,1.0
Instituto De Saude Elpidio De Almeida,11.0,4.0
Hospital de Trauma de Campina Grande,10.0,-3.0
Maternidade Frei Damiao - UNIDADE II,9.0,0.0
Hospital Universitario Lauro Wanderley,8.0,6.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,7.0
Hospital Regional de Guarabira,6.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,4.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,5.0,3.0
Hospital Infantil Noaldo Leite,5.0,0.0
Prontovida,5.0,20.0
Maternidade Frei Damiao - UNIDADE I,4.0,1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,0.0
Hospital Geral de Mamanguape,3.0,4.0
Hospital Municipal Valentina,2.0,1.0
Hospital Regional De Cajazeiras,1.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),1.0,5.0
Hospital João XXIII,1.0,4.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
Hospital São Vicente de Paulo,0.0,5.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital Universitário Alcides Carneiro,0.0,4.0
NOVO Hospital de Clínicas do Estado da Paraíba,-1.0,14.0
Hospital Municipal Pedro I,-6.0,31.0
Hospital Wenceslau Lopes,-7.0,-1.0
