Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,33.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Hospital Municipal Santa Isabel,17.0,17.0
Instituto De Saude Elpidio De Almeida,10.0,3.0
Maternidade Frei Damiao,10.0,1.0
Hospital Universitario Lauro Wanderley,7.0,5.0
Hospital Metropolitano Dom Jose Maria Pires,6.0,0.0
Hospital de Trauma de Campina Grande,6.0,-3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,3.0
Hospital Infantil Noaldo Leite,6.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,5.0,3.0
Maternidade Frei Damiao - UNIDADE II,5.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),5.0,8.0
Hospital Universitário HUJB,4.0,0.0
Hospital Regional de Guarabira,3.0,0.0
Hospital Regional De Cajazeiras,2.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,2.0,1.0
Hospital Municipal Pedro I,2.0,9.0
Maternidade Frei Damiao - UNIDADE I,1.0,0.0
Prontovida,1.0,18.0
Hospital Municipal Valentina,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Antônio Targino,0.0,2.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),0.0,5.0
Hospital São Vicente de Paulo,0.0,2.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
Hospital Wenceslau Lopes,-1.0,0.0
Hospital João XXIII,-3.0,3.0
Hospital Geral de Mamanguape,-3.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,-7.0,12.0
