Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,43.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Prontovida,22.0,41.0
Complexo Hospitalar Dep Janduhy Carneiro,20.0,17.0
Maternidade Frei Damiao - UNIDADE II,20.0,4.0
Hospital Municipal Pedro I,18.0,40.0
Hospital de Trauma de Campina Grande,18.0,1.0
Maternidade Frei Damiao,17.0,0.0
Maternidade Frei Damiao - UNIDADE I,15.0,2.0
Hospital Municipal Santa Isabel,14.0,38.0
Instituto De Saude Elpidio De Almeida,13.0,5.0
Hospital Regional De Cajazeiras,12.0,4.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Wenceslau Lopes,10.0,3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,8.0
Complexo Hospitalar de Mangabeira (Ortotrauma),9.0,5.0
NOVO Hospital de Clínicas do Estado da Paraíba,9.0,24.0
Hospital Universitario Lauro Wanderley,9.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,6.0,14.0
Hospital Geral de Mamanguape,6.0,3.0
Hospital Distrital Senador Ruy Carneiro,5.0,5.0
Hospital São Vicente de Paulo,5.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital Regional de Guarabira,4.0,2.0
Hospital Infantil Noaldo Leite,4.0,2.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,5.0
Hospital Municipal Valentina,0.0,3.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Hospital João XXIII,0.0,6.0
