Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,34.0,23.0
Hospital São Luis,30.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital de Trauma de Campina Grande,18.0,2.0
Prontovida,14.0,23.0
Maternidade Frei Damiao,13.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,13.0,24.0
Complexo Hospitalar Dep Janduhy Carneiro,12.0,8.0
Hospital Wenceslau Lopes,10.0,2.0
Instituto De Saude Elpidio De Almeida,9.0,5.0
Maternidade Frei Damiao - UNIDADE II,9.0,0.0
Hospital Geral de Mamanguape,7.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,6.0
Hospital Universitario Lauro Wanderley,6.0,-1.0
Extensão CHDJC (Hosp Noaldo Leite),6.0,2.0
Hospital Municipal Santa Isabel,5.0,20.0
Hospital Regional de Guarabira,5.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),5.0,6.0
Hospital Regional De Cajazeiras,4.0,3.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,8.0
Hospital Universitário HUJB,4.0,0.0
Maternidade Frei Damiao - UNIDADE I,2.0,1.0
Hospital Infantil Noaldo Leite,2.0,2.0
Hospital Distrital Senador Ruy Carneiro,2.0,3.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,1.0,1.0
Hospital São Vicente de Paulo,1.0,0.0
Hospital Municipal Valentina,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,4.0
Hospital Universitário Alcides Carneiro,0.0,4.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital João XXIII,0.0,5.0
