Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,39.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,22.0,18.0
Maternidade Frei Damiao - UNIDADE II,22.0,2.0
Prontovida,20.0,35.0
Hospital de Trauma de Campina Grande,19.0,-1.0
Maternidade Frei Damiao,18.0,1.0
Hospital Municipal Pedro I,15.0,26.0
Instituto De Saude Elpidio De Almeida,15.0,6.0
Maternidade Frei Damiao - UNIDADE I,13.0,3.0
Hospital Municipal Santa Isabel,13.0,29.0
Hospital Geral de Mamanguape,12.0,0.0
Hospital Regional De Cajazeiras,11.0,7.0
Extensão CHDJC (Hosp Noaldo Leite),11.0,5.0
Hospital Wenceslau Lopes,10.0,4.0
Hospital Universitario Lauro Wanderley,8.0,3.0
Hospital Metropolitano Dom Jose Maria Pires,8.0,9.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,7.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,6.0
Hospital Regional de Guarabira,6.0,1.0
Hospital Infantil Noaldo Leite,5.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,5.0,4.0
Hospital Universitário HUJB,4.0,0.0
Hospital Distrital Senador Ruy Carneiro,1.0,0.0
Hospital São Vicente de Paulo,1.0,1.0
Hospital Municipal Valentina,0.0,1.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Hospital João XXIII,0.0,2.0
Maternidade Frei Damiao - UCIN,0.0,5.0
NOVO Hospital de Clínicas do Estado da Paraíba,-3.0,28.0
