Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital Municipal Pedro I,49.0,33.0
Hospital São Luis,48.0,0.0
Maternidade Frei Damiao - UNIDADE II,30.0,4.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Municipal Santa Isabel,24.0,50.0
Prontovida,23.0,28.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,22.0,7.0
Complexo Hospitalar Dep Janduhy Carneiro,21.0,8.0
Hospital de Clínicas do Estado da Paraíba,20.0,44.0
Maternidade Frei Damiao - UNIDADE I,18.0,2.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Maternidade Frei Damiao,14.0,3.0
Hospital Metropolitano Dom Jose Maria Pires,13.0,15.0
Hospital de Trauma de Campina Grande,13.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,12.0,11.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Universitario Lauro Wanderley,11.0,7.0
Hospital Geral de Mamanguape,11.0,6.0
Instituto De Saude Elpidio De Almeida,10.0,4.0
Hospital Regional de Guarabira,9.0,-1.0
Hospital Regional De Cajazeiras,8.0,8.0
Hospital Wenceslau Lopes,8.0,0.0
Hospital Infantil Noaldo Leite,6.0,2.0
Antônio Targino,5.0,6.0
Hospital Distrital Senador Ruy Carneiro,5.0,4.0
Hospital Universitário HUJB,4.0,0.0
Hospital Regional de Monteiro,3.0,2.0
Hospital Municipal Valentina,3.0,3.0
Hospital João XXIII,3.0,7.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital São Vicente de Paulo,0.0,7.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,1.0
