Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,88.0,41.0
Hospital São Luis,50.0,0.0
Maternidade Frei Damiao - UNIDADE II,47.0,3.0
Prontovida,41.0,51.0
Hospital Municipal Santa Isabel,36.0,70.0
Hospital Municipal Valentina,30.0,9.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Hospital Metropolitano Dom Jose Maria Pires,22.0,12.0
Hospital Wenceslau Lopes,22.0,10.0
Hospital de Clínicas do Estado da Paraíba,19.0,21.0
Complexo Hospitalar Dep Janduhy Carneiro,18.0,14.0
Instituto De Saude Elpidio De Almeida,16.0,6.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,14.0,7.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital Distrital Senador Ruy Carneiro,13.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,12.0,14.0
Hospital Regional De Cajazeiras,11.0,12.0
Hospital João XXIII,10.0,9.0
Maternidade Frei Damiao,9.0,3.0
Hospital Regional de Guarabira,7.0,0.0
Hospital Infantil Noaldo Leite,6.0,2.0
Antônio Targino,5.0,9.0
Hospital de Trauma de Campina Grande,5.0,0.0
Hospital Universitário HUJB,4.0,0.0
Hospital Universitario Lauro Wanderley,2.0,1.0
Maternidade Frei Damiao - UCIN,0.0,4.0
Maternidade Frei Damiao - UNIDADE I,0.0,0.0
Hospital Regional de Sousa,0.0,0.0
Hospital São Vicente de Paulo,0.0,10.0
Maternidade Frei Damiao - UTI NEO,0.0,4.0
Hospital Universitário Alcides Carneiro,0.0,10.0
Hospital Regional de Monteiro,0.0,0.0
Hospital Geral de Mamanguape,0.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),0.0,0.0
