Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,65.0,28.0
Hospital São Luis,50.0,0.0
Maternidade Frei Damiao - UNIDADE II,37.0,7.0
Hospital Municipal Santa Isabel,35.0,56.0
Prontovida,33.0,32.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE I,25.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,24.0,14.0
Hospital de Clínicas do Estado da Paraíba,21.0,51.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,21.0,13.0
Hospital de Trauma de Campina Grande,15.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Maternidade Frei Damiao,13.0,2.0
Hospital Geral de Mamanguape,12.0,4.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Wenceslau Lopes,11.0,5.0
Instituto De Saude Elpidio De Almeida,11.0,6.0
Hospital Universitario Lauro Wanderley,10.0,10.0
Hospital Metropolitano Dom Jose Maria Pires,10.0,16.0
Hospital João XXIII,10.0,9.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,9.0,13.0
Hospital Regional de Guarabira,8.0,0.0
Hospital Infantil Noaldo Leite,6.0,0.0
Hospital Regional de Monteiro,5.0,2.0
Antônio Targino,5.0,9.0
Hospital Municipal Valentina,4.0,4.0
Hospital Universitário HUJB,4.0,0.0
Hospital Distrital Senador Ruy Carneiro,4.0,3.0
Hospital Universitário Alcides Carneiro,0.0,8.0
Hospital São Vicente de Paulo,0.0,6.0
Hospital Regional De Cajazeiras,0.0,6.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
