Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,32.0,18.0
Hospital São Luis,30.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital de Trauma de Campina Grande,18.0,2.0
Prontovida,18.0,24.0
NOVO Hospital de Clínicas do Estado da Paraíba,14.0,19.0
Maternidade Frei Damiao,13.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,13.0,9.0
Instituto De Saude Elpidio De Almeida,10.0,5.0
Hospital Wenceslau Lopes,8.0,3.0
Hospital Geral de Mamanguape,8.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),8.0,3.0
Hospital Regional De Cajazeiras,7.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,6.0
Complexo Hospitalar de Mangabeira (Ortotrauma),5.0,7.0
Hospital Municipal Santa Isabel,5.0,22.0
Hospital Universitário HUJB,4.0,0.0
Hospital Universitario Lauro Wanderley,4.0,0.0
Maternidade Frei Damiao - UNIDADE II,4.0,1.0
Hospital Regional de Guarabira,4.0,1.0
Hospital Infantil Noaldo Leite,4.0,2.0
Hospital Metropolitano Dom Jose Maria Pires,3.0,5.0
Hospital Distrital Senador Ruy Carneiro,3.0,2.0
Maternidade Frei Damiao - UNIDADE I,2.0,2.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,2.0,1.0
Hospital São Vicente de Paulo,1.0,0.0
Hospital Municipal Valentina,0.0,5.0
Hospital João XXIII,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,3.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Maternidade Frei Damiao - UCIN,0.0,4.0
