Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,40.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Maternidade Frei Damiao - UNIDADE II,26.0,2.0
Prontovida,18.0,37.0
Hospital de Trauma de Campina Grande,17.0,-2.0
Complexo Hospitalar Dep Janduhy Carneiro,16.0,11.0
Maternidade Frei Damiao,13.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,12.0,5.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Instituto De Saude Elpidio De Almeida,12.0,5.0
Hospital Municipal Santa Isabel,12.0,46.0
Maternidade Frei Damiao - UNIDADE I,11.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,11.0,13.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,8.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,12.0
Hospital Geral de Mamanguape,8.0,1.0
Hospital Universitario Lauro Wanderley,8.0,12.0
Hospital Municipal Pedro I,7.0,24.0
Hospital Infantil Noaldo Leite,6.0,2.0
Hospital Regional de Guarabira,6.0,1.0
Hospital Metropolitano Dom Jose Maria Pires,5.0,8.0
Hospital Universitário HUJB,4.0,0.0
Hospital Wenceslau Lopes,3.0,-1.0
Hospital Distrital Senador Ruy Carneiro,2.0,2.0
Hospital Municipal Valentina,2.0,1.0
Hospital São Vicente de Paulo,2.0,2.0
Hospital Regional De Cajazeiras,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,9.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
