Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,84.0,30.0
Hospital São Luis,48.0,0.0
Maternidade Frei Damiao - UNIDADE II,42.0,9.0
Hospital Municipal Santa Isabel,35.0,64.0
Maternidade Frei Damiao - UNIDADE I,31.0,6.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Prontovida,26.0,37.0
Complexo Hospitalar Dep Janduhy Carneiro,24.0,17.0
Hospital de Trauma de Campina Grande,20.0,4.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,18.0,14.0
Hospital de Clínicas do Estado da Paraíba,17.0,44.0
Maternidade Frei Damiao,17.0,2.0
Instituto De Saude Elpidio De Almeida,15.0,6.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital Wenceslau Lopes,13.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,13.0,29.0
Hospital Regional De Cajazeiras,12.0,12.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Geral de Mamanguape,11.0,4.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,16.0
Hospital João XXIII,10.0,9.0
Hospital Regional de Guarabira,9.0,0.0
Hospital Universitario Lauro Wanderley,9.0,10.0
Hospital Regional de Monteiro,8.0,1.0
Hospital Distrital Senador Ruy Carneiro,7.0,7.0
Antônio Targino,5.0,9.0
Hospital Infantil Noaldo Leite,5.0,0.0
Hospital Universitário HUJB,4.0,0.0
Hospital Municipal Valentina,4.0,4.0
Hospital Universitário Alcides Carneiro,0.0,4.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital São Vicente de Paulo,0.0,9.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
