Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,66.0,32.0
Hospital São Luis,50.0,0.0
Maternidade Frei Damiao - UNIDADE II,38.0,8.0
Hospital Municipal Santa Isabel,35.0,58.0
Prontovida,34.0,33.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE I,24.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,23.0,13.0
Hospital de Clínicas do Estado da Paraíba,22.0,49.0
Hospital de Trauma de Campina Grande,19.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,17.0,14.0
Maternidade Frei Damiao,16.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital Geral de Mamanguape,14.0,3.0
Instituto De Saude Elpidio De Almeida,12.0,6.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Wenceslau Lopes,12.0,7.0
Hospital Universitario Lauro Wanderley,10.0,10.0
Hospital João XXIII,10.0,9.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,9.0,14.0
Hospital Metropolitano Dom Jose Maria Pires,8.0,18.0
Hospital Regional de Monteiro,7.0,4.0
Hospital Regional de Guarabira,7.0,2.0
Hospital Infantil Noaldo Leite,6.0,2.0
Antônio Targino,5.0,9.0
Hospital Municipal Valentina,5.0,4.0
Hospital Regional De Cajazeiras,4.0,7.0
Hospital Universitário HUJB,4.0,0.0
Hospital Distrital Senador Ruy Carneiro,2.0,3.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital Universitário Alcides Carneiro,0.0,7.0
Hospital São Vicente de Paulo,0.0,7.0
