Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,43.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Maternidade Frei Damiao - UNIDADE II,22.0,4.0
Prontovida,20.0,38.0
Hospital Municipal Santa Isabel,18.0,50.0
Complexo Hospitalar Dep Janduhy Carneiro,16.0,6.0
Instituto De Saude Elpidio De Almeida,15.0,3.0
Maternidade Frei Damiao - UNIDADE I,14.0,1.0
Hospital Universitario Lauro Wanderley,14.0,11.0
Maternidade Frei Damiao,13.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,9.0
Hospital Municipal Pedro I,9.0,20.0
Hospital Geral de Mamanguape,9.0,4.0
Hospital Wenceslau Lopes,8.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,8.0,17.0
Hospital Regional de Guarabira,7.0,4.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,9.0
Hospital de Trauma de Campina Grande,7.0,2.0
Hospital Municipal Valentina,6.0,1.0
Hospital Infantil Noaldo Leite,5.0,0.0
Hospital Regional De Cajazeiras,5.0,7.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,14.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital São Vicente de Paulo,3.0,0.0
Hospital Distrital Senador Ruy Carneiro,3.0,6.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,9.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,1.0
