Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital Municipal Pedro I,49.0,18.0
Hospital São Luis,46.0,0.0
Maternidade Frei Damiao - UNIDADE II,31.0,4.0
Prontovida,31.0,31.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,3.0
Maternidade Frei Damiao - UNIDADE I,25.0,1.0
Hospital Municipal Santa Isabel,20.0,29.0
Maternidade Frei Damiao,18.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,17.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,13.0,6.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,8.0
Hospital de Trauma de Campina Grande,11.0,-5.0
Extensão CHDJC (Hosp Noaldo Leite),11.0,5.0
Hospital Universitario Lauro Wanderley,9.0,9.0
Hospital Metropolitano Dom Jose Maria Pires,8.0,10.0
Instituto De Saude Elpidio De Almeida,8.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,8.0
Hospital João XXIII,6.0,4.0
Hospital Wenceslau Lopes,5.0,0.0
Hospital Regional de Guarabira,5.0,-2.0
Antônio Targino,5.0,6.0
Hospital Geral de Mamanguape,5.0,6.0
Hospital de Clínicas do Estado da Paraíba,5.0,26.0
Hospital Regional De Cajazeiras,4.0,2.0
Hospital Regional de Monteiro,3.0,0.0
Hospital Municipal Valentina,3.0,4.0
Hospital Infantil Noaldo Leite,3.0,0.0
Hospital Distrital Senador Ruy Carneiro,2.0,1.0
Hospital Universitário HUJB,0.0,0.0
Hospital São Vicente de Paulo,0.0,5.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
