Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,35.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Municipal Pedro I,24.0,18.0
Prontovida,16.0,25.0
Hospital Municipal Santa Isabel,12.0,25.0
Instituto De Saude Elpidio De Almeida,11.0,3.0
Maternidade Frei Damiao,7.0,0.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,6.0
Maternidade Frei Damiao - UNIDADE I,6.0,1.0
Hospital de Trauma de Campina Grande,6.0,-1.0
Hospital Regional de Guarabira,6.0,-2.0
Hospital Infantil Noaldo Leite,6.0,-2.0
Hospital Universitario Lauro Wanderley,6.0,8.0
Complexo Hospitalar Dep Janduhy Carneiro,6.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,5.0,1.0
Maternidade Frei Damiao - UNIDADE II,5.0,1.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,5.0,1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Municipal Valentina,4.0,2.0
Hospital Metropolitano Dom Jose Maria Pires,3.0,2.0
Extensão CHDJC (Hosp Noaldo Leite),3.0,5.0
Hospital Distrital Senador Ruy Carneiro,2.0,0.0
Hospital Wenceslau Lopes,1.0,-2.0
Hospital Geral de Mamanguape,0.0,3.0
Hospital Regional De Cajazeiras,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital São Vicente de Paulo,0.0,1.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Antônio Targino,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
Hospital João XXIII,-3.0,3.0
NOVO Hospital de Clínicas do Estado da Paraíba,-8.0,14.0
