Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital São Luis,28.0,0.0
Hospital Municipal Pedro I,22.0,20.0
Prontovida,20.0,21.0
Complexo Hospitalar Dep Janduhy Carneiro,19.0,5.0
Hospital de Trauma de Campina Grande,18.0,2.0
Instituto De Saude Elpidio De Almeida,16.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,15.0,16.0
Hospital Wenceslau Lopes,12.0,1.0
Maternidade Frei Damiao - UNIDADE I,12.0,2.0
Maternidade Frei Damiao - UNIDADE II,8.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),8.0,3.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,7.0
Maternidade Frei Damiao,7.0,3.0
Hospital Regional de Guarabira,6.0,2.0
Hospital Geral de Mamanguape,6.0,0.0
Hospital Universitario Lauro Wanderley,6.0,-1.0
Hospital Municipal Santa Isabel,5.0,15.0
Hospital Regional De Cajazeiras,4.0,4.0
Hospital Universitário HUJB,4.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,3.0,10.0
Complexo Hospitalar de Mangabeira (Ortotrauma),3.0,5.0
Hospital Infantil Noaldo Leite,2.0,2.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,2.0,1.0
Maternidade Frei Damiao - UCIN,0.0,3.0
Hospital Universitário Alcides Carneiro,0.0,2.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital São Vicente de Paulo,0.0,1.0
Hospital João XXIII,0.0,5.0
Hospital Municipal Valentina,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
