Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,36.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Metropolitano Dom Jose Maria Pires,19.0,8.0
Hospital de Trauma de Campina Grande,16.0,-1.0
Maternidade Frei Damiao,13.0,0.0
Hospital Municipal Santa Isabel,12.0,23.0
Prontovida,11.0,30.0
Complexo Hospitalar de Mangabeira (Ortotrauma),9.0,6.0
Maternidade Frei Damiao - UNIDADE II,8.0,1.0
Hospital Universitario Lauro Wanderley,8.0,6.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,7.0,3.0
Maternidade Frei Damiao - UNIDADE I,6.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,5.0,0.0
Hospital Regional de Guarabira,5.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),5.0,5.0
Hospital Universitário HUJB,4.0,0.0
NOVO Hospital de Clínicas do Estado da Paraíba,3.0,15.0
Hospital São Vicente de Paulo,2.0,3.0
Hospital Infantil Noaldo Leite,2.0,0.0
Hospital Geral de Mamanguape,2.0,2.0
Hospital Wenceslau Lopes,1.0,1.0
Instituto De Saude Elpidio De Almeida,1.0,5.0
Hospital Regional De Cajazeiras,0.0,0.0
Hospital João XXIII,0.0,5.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Municipal Valentina,0.0,2.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Municipal Pedro I,-11.0,29.0
