Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,41.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Maternidade Frei Damiao - UNIDADE II,23.0,0.0
Prontovida,18.0,37.0
Hospital Municipal Santa Isabel,17.0,49.0
Maternidade Frei Damiao,15.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,15.0,11.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital de Trauma de Campina Grande,12.0,1.0
NOVO Hospital de Clínicas do Estado da Paraíba,12.0,13.0
Instituto De Saude Elpidio De Almeida,11.0,5.0
Hospital Metropolitano Dom Jose Maria Pires,11.0,15.0
Maternidade Frei Damiao - UNIDADE I,11.0,2.0
Hospital Wenceslau Lopes,11.0,-1.0
Hospital Municipal Pedro I,10.0,20.0
Hospital Universitario Lauro Wanderley,10.0,12.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,11.0
Complexo Hospitalar de Mangabeira (Ortotrauma),9.0,6.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,7.0,3.0
Hospital Regional de Guarabira,7.0,0.0
Hospital Geral de Mamanguape,4.0,3.0
Hospital Universitário HUJB,4.0,0.0
Hospital São Vicente de Paulo,3.0,0.0
Hospital Municipal Valentina,2.0,1.0
Hospital Regional De Cajazeiras,1.0,6.0
Hospital Infantil Noaldo Leite,1.0,2.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,9.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,1.0
