Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,42.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Municipal Santa Isabel,17.0,22.0
Hospital de Trauma de Campina Grande,15.0,0.0
NOVO Hospital de Clínicas do Estado da Paraíba,15.0,13.0
Maternidade Frei Damiao,13.0,0.0
Maternidade Frei Damiao - UNIDADE II,12.0,8.0
Prontovida,12.0,31.0
Complexo Hospitalar de Mangabeira (Ortotrauma),9.0,6.0
Complexo Hospitalar Dep Janduhy Carneiro,8.0,2.0
Extensão CHDJC (Hosp Noaldo Leite),8.0,5.0
Hospital Universitario Lauro Wanderley,8.0,7.0
Maternidade Frei Damiao - UNIDADE I,8.0,0.0
Hospital Infantil Noaldo Leite,6.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,5.0,1.0
Hospital Regional de Guarabira,5.0,0.0
Hospital Universitário HUJB,4.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,3.0,4.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,3.0,2.0
Hospital Geral de Mamanguape,3.0,2.0
Instituto De Saude Elpidio De Almeida,2.0,5.0
Hospital São Vicente de Paulo,2.0,3.0
Hospital Wenceslau Lopes,2.0,-2.0
Hospital Regional De Cajazeiras,1.0,0.0
Hospital Municipal Valentina,1.0,3.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital João XXIII,0.0,5.0
Hospital Municipal Pedro I,-9.0,34.0
