Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,4.0
Hospital São Luis,25.0,0.0
Maternidade Frei Damiao,16.0,2.0
Instituto De Saude Elpidio De Almeida,12.0,3.0
Hospital de Trauma de Campina Grande,12.0,-3.0
Hospital Municipal Santa Isabel,12.0,17.0
Maternidade Frei Damiao - UNIDADE II,10.0,1.0
Hospital Universitario Lauro Wanderley,7.0,5.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,7.0
Hospital Regional de Guarabira,6.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,4.0
Hospital Infantil Noaldo Leite,5.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,5.0,2.0
Prontovida,5.0,21.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,3.0
Hospital Geral de Mamanguape,4.0,2.0
Hospital Universitário HUJB,4.0,0.0
Maternidade Frei Damiao - UNIDADE I,3.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),3.0,5.0
Hospital Regional De Cajazeiras,2.0,0.0
Hospital Municipal Valentina,2.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,1.0,0.0
NOVO Hospital de Clínicas do Estado da Paraíba,0.0,18.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital São Vicente de Paulo,0.0,3.0
Hospital João XXIII,0.0,3.0
Hospital Universitário Alcides Carneiro,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital Municipal Pedro I,-6.0,24.0
Hospital Wenceslau Lopes,-6.0,-1.0
