Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,38.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE II,27.0,1.0
Complexo Hospitalar Dep Janduhy Carneiro,22.0,11.0
Prontovida,21.0,36.0
Maternidade Frei Damiao,20.0,0.0
Hospital Municipal Santa Isabel,17.0,24.0
Instituto De Saude Elpidio De Almeida,14.0,6.0
Hospital Municipal Pedro I,13.0,31.0
Hospital Wenceslau Lopes,12.0,2.0
NOVO Hospital de Clínicas do Estado da Paraíba,12.0,20.0
Hospital de Trauma de Campina Grande,12.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,12.0,5.0
Extensão CHDJC (Hosp Noaldo Leite),11.0,5.0
Hospital Geral de Mamanguape,10.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,9.0,5.0
Hospital Regional de Guarabira,8.0,3.0
Complexo Hospitalar de Mangabeira (Ortotrauma),8.0,5.0
Hospital Universitario Lauro Wanderley,8.0,2.0
Hospital Regional De Cajazeiras,7.0,6.0
Maternidade Frei Damiao - UNIDADE I,7.0,2.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,5.0,1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Infantil Noaldo Leite,3.0,1.0
Hospital São Vicente de Paulo,2.0,2.0
Hospital Municipal Valentina,1.0,1.0
Hospital Distrital Senador Ruy Carneiro,1.0,1.0
Hospital João XXIII,0.0,3.0
Hospital Universitário Alcides Carneiro,0.0,6.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Maternidade Frei Damiao - UCIN,0.0,5.0
