Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,46.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE II,24.0,3.0
Prontovida,23.0,37.0
Hospital Municipal Pedro I,22.0,34.0
Maternidade Frei Damiao - UNIDADE I,16.0,2.0
Hospital Municipal Santa Isabel,16.0,40.0
Hospital de Trauma de Campina Grande,15.0,1.0
Maternidade Frei Damiao,14.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Universitario Lauro Wanderley,12.0,10.0
NOVO Hospital de Clínicas do Estado da Paraíba,11.0,16.0
Complexo Hospitalar Dep Janduhy Carneiro,10.0,10.0
Instituto De Saude Elpidio De Almeida,9.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,8.0,20.0
Hospital Regional De Cajazeiras,8.0,7.0
Hospital Wenceslau Lopes,7.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,11.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,8.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,6.0,3.0
Hospital Regional de Guarabira,4.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital São Vicente de Paulo,4.0,2.0
Hospital Geral de Mamanguape,3.0,0.0
Hospital Infantil Noaldo Leite,2.0,2.0
Hospital Distrital Senador Ruy Carneiro,1.0,2.0
Hospital João XXIII,0.0,6.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Municipal Valentina,0.0,2.0
Hospital Universitário Alcides Carneiro,0.0,2.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
