Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,35.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital Municipal Pedro I,22.0,21.0
Prontovida,16.0,21.0
Hospital de Trauma de Campina Grande,14.0,-3.0
Maternidade Frei Damiao - UNIDADE II,14.0,0.0
Maternidade Frei Damiao - UNIDADE I,12.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,7.0
Hospital Municipal Santa Isabel,10.0,23.0
Hospital Municipal Valentina,10.0,3.0
Maternidade Frei Damiao,10.0,3.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,9.0,1.0
Hospital Metropolitano Dom Jose Maria Pires,8.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,7.0,2.0
Instituto De Saude Elpidio De Almeida,7.0,4.0
Hospital Universitario Lauro Wanderley,7.0,9.0
Hospital Infantil Noaldo Leite,6.0,-2.0
Hospital Regional de Guarabira,5.0,-1.0
Antônio Targino,5.0,6.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,4.0,4.0
Hospital Regional De Cajazeiras,2.0,3.0
Hospital Wenceslau Lopes,2.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Extensão CHDJC (Hosp Noaldo Leite),0.0,5.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Universitário HUJB,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital São Vicente de Paulo,0.0,7.0
Hospital Geral de Mamanguape,-1.0,0.0
Hospital João XXIII,-2.0,6.0
NOVO Hospital de Clínicas do Estado da Paraíba,-9.0,15.0
