Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,34.0,25.0
Hospital São Luis,32.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital de Trauma de Campina Grande,18.0,2.0
Maternidade Frei Damiao,16.0,0.0
Prontovida,16.0,27.0
Complexo Hospitalar Dep Janduhy Carneiro,15.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,13.0,1.0
NOVO Hospital de Clínicas do Estado da Paraíba,13.0,20.0
Instituto De Saude Elpidio De Almeida,12.0,6.0
Hospital Geral de Mamanguape,11.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),10.0,3.0
Hospital Municipal Santa Isabel,10.0,25.0
Hospital Wenceslau Lopes,10.0,3.0
Hospital Metropolitano Dom Jose Maria Pires,9.0,6.0
Hospital Regional De Cajazeiras,8.0,11.0
Maternidade Frei Damiao - UNIDADE II,8.0,1.0
Hospital Regional de Guarabira,7.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,7.0
Hospital Infantil Noaldo Leite,5.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,2.0,1.0
Hospital São Vicente de Paulo,1.0,1.0
Hospital Distrital Senador Ruy Carneiro,1.0,0.0
Hospital Universitario Lauro Wanderley,1.0,1.0
Maternidade Frei Damiao - UNIDADE I,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Municipal Valentina,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital João XXIII,0.0,6.0
Hospital Universitário Alcides Carneiro,0.0,5.0
