Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,36.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE II,15.0,0.0
Maternidade Frei Damiao,15.0,0.0
Hospital Municipal Santa Isabel,14.0,33.0
Prontovida,13.0,34.0
Maternidade Frei Damiao - UNIDADE I,11.0,0.0
Hospital de Trauma de Campina Grande,11.0,-2.0
Hospital Universitario Lauro Wanderley,10.0,9.0
Complexo Hospitalar de Mangabeira (Ortotrauma),10.0,5.0
Instituto De Saude Elpidio De Almeida,9.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,8.0,8.0
NOVO Hospital de Clínicas do Estado da Paraíba,7.0,16.0
Complexo Hospitalar Dep Janduhy Carneiro,7.0,3.0
Hospital Metropolitano Dom Jose Maria Pires,6.0,1.0
Hospital Geral de Mamanguape,5.0,3.0
Hospital Regional de Guarabira,5.0,1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Wenceslau Lopes,4.0,-1.0
Hospital Regional De Cajazeiras,3.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,3.0,1.0
Hospital Infantil Noaldo Leite,3.0,0.0
Hospital São Vicente de Paulo,1.0,3.0
Hospital Municipal Pedro I,1.0,35.0
Extensão CHDJC (Hosp Noaldo Leite),1.0,5.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,2.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital João XXIII,0.0,4.0
Hospital Municipal Valentina,0.0,2.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
