Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,36.0,19.0
Hospital São Luis,32.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Hospital de Trauma de Campina Grande,18.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,16.0,9.0
Maternidade Frei Damiao,15.0,0.0
Prontovida,12.0,25.0
Instituto De Saude Elpidio De Almeida,12.0,6.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,2.0
Hospital Wenceslau Lopes,9.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),8.0,3.0
Hospital Geral de Mamanguape,8.0,0.0
NOVO Hospital de Clínicas do Estado da Paraíba,7.0,19.0
Hospital Municipal Santa Isabel,7.0,19.0
Hospital Regional De Cajazeiras,6.0,2.0
Hospital Regional de Guarabira,6.0,1.0
Hospital Infantil Noaldo Leite,5.0,2.0
Complexo Hospitalar de Mangabeira (Ortotrauma),5.0,7.0
Hospital Universitário HUJB,4.0,0.0
Maternidade Frei Damiao - UNIDADE II,3.0,1.0
Hospital Distrital Senador Ruy Carneiro,3.0,2.0
Hospital Universitario Lauro Wanderley,2.0,0.0
Maternidade Frei Damiao - UNIDADE I,2.0,1.0
Hospital Metropolitano Dom Jose Maria Pires,1.0,4.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,1.0,3.0
Hospital João XXIII,0.0,6.0
Hospital Municipal Valentina,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital São Vicente de Paulo,0.0,0.0
Hospital Universitário Alcides Carneiro,0.0,6.0
Maternidade Frei Damiao - UCIN,0.0,5.0
