Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,40.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Maternidade Frei Damiao - UNIDADE II,24.0,1.0
Prontovida,18.0,35.0
Hospital Municipal Santa Isabel,16.0,46.0
Maternidade Frei Damiao,15.0,1.0
Hospital de Trauma de Campina Grande,14.0,-2.0
NOVO Hospital de Clínicas do Estado da Paraíba,14.0,13.0
Maternidade Frei Damiao - UNIDADE I,13.0,3.0
Complexo Hospitalar Dep Janduhy Carneiro,12.0,13.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,10.0,3.0
Instituto De Saude Elpidio De Almeida,10.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,11.0
Hospital Metropolitano Dom Jose Maria Pires,10.0,11.0
Hospital Universitario Lauro Wanderley,9.0,12.0
Hospital Wenceslau Lopes,9.0,0.0
Complexo Hospitalar de Mangabeira (Ortotrauma),8.0,8.0
Hospital Municipal Pedro I,8.0,23.0
Hospital Geral de Mamanguape,8.0,2.0
Hospital Regional de Guarabira,6.0,0.0
Hospital Infantil Noaldo Leite,5.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital São Vicente de Paulo,2.0,2.0
Hospital Municipal Valentina,2.0,1.0
Hospital Regional De Cajazeiras,0.0,1.0
Hospital João XXIII,0.0,9.0
Hospital Distrital Senador Ruy Carneiro,0.0,3.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,8.0
Hospital Universitário Alcides Carneiro,0.0,0.0
