Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,46.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,4.0
Maternidade Frei Damiao - UNIDADE II,23.0,5.0
Prontovida,21.0,40.0
Complexo Hospitalar Dep Janduhy Carneiro,20.0,8.0
NOVO Hospital de Clínicas do Estado da Paraíba,20.0,13.0
Hospital Municipal Pedro I,19.0,29.0
Maternidade Frei Damiao - UNIDADE I,15.0,1.0
Hospital de Trauma de Campina Grande,15.0,0.0
Hospital Municipal Santa Isabel,15.0,43.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Maternidade Frei Damiao,12.0,1.0
Hospital Regional De Cajazeiras,11.0,6.0
Hospital Universitario Lauro Wanderley,11.0,10.0
Hospital Wenceslau Lopes,11.0,1.0
Instituto De Saude Elpidio De Almeida,10.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,8.0,12.0
Hospital Regional de Guarabira,7.0,4.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,7.0,5.0
Hospital Metropolitano Dom Jose Maria Pires,7.0,16.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,8.0
Hospital Infantil Noaldo Leite,6.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital São Vicente de Paulo,2.0,2.0
Hospital Geral de Mamanguape,0.0,4.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,7.0
Hospital Universitário Alcides Carneiro,0.0,2.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Municipal Valentina,0.0,2.0
Hospital Distrital Senador Ruy Carneiro,0.0,1.0
