Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,36.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Hospital Municipal Pedro I,21.0,20.0
Prontovida,20.0,24.0
Hospital Municipal Santa Isabel,13.0,24.0
Instituto De Saude Elpidio De Almeida,10.0,4.0
Maternidade Frei Damiao - UNIDADE II,9.0,2.0
Maternidade Frei Damiao - UNIDADE I,8.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,8.0,1.0
Maternidade Frei Damiao,7.0,0.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,6.0
Hospital Metropolitano Dom Jose Maria Pires,7.0,2.0
Hospital Regional de Guarabira,7.0,-1.0
Hospital Infantil Noaldo Leite,5.0,-1.0
Hospital Universitario Lauro Wanderley,5.0,7.0
Hospital de Trauma de Campina Grande,4.0,-2.0
Hospital Universitário HUJB,4.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,4.0,1.0
Hospital João XXIII,4.0,3.0
Complexo Hospitalar Dep Janduhy Carneiro,3.0,0.0
Hospital Regional De Cajazeiras,1.0,0.0
Hospital Municipal Valentina,1.0,2.0
Extensão CHDJC (Hosp Noaldo Leite),1.0,5.0
Hospital Distrital Senador Ruy Carneiro,1.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Antônio Targino,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital São Vicente de Paulo,0.0,7.0
Hospital Wenceslau Lopes,-1.0,-2.0
Hospital Geral de Mamanguape,-2.0,3.0
NOVO Hospital de Clínicas do Estado da Paraíba,-10.0,13.0
