Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital Municipal Pedro I,57.0,15.0
Hospital São Luis,47.0,0.0
Prontovida,33.0,34.0
Maternidade Frei Damiao - UNIDADE II,31.0,5.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Maternidade Frei Damiao - UNIDADE I,24.0,2.0
Complexo Hospitalar Dep Janduhy Carneiro,24.0,4.0
Hospital Municipal Santa Isabel,20.0,36.0
Maternidade Frei Damiao,18.0,1.0
Hospital de Trauma de Campina Grande,16.0,-3.0
Hospital de Clínicas do Estado da Paraíba,15.0,40.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,14.0,7.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Instituto De Saude Elpidio De Almeida,11.0,4.0
Complexo Hospitalar de Mangabeira (Ortotrauma),11.0,9.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,9.0,12.0
Hospital Universitario Lauro Wanderley,8.0,9.0
Hospital João XXIII,7.0,7.0
Hospital Metropolitano Dom Jose Maria Pires,6.0,11.0
Hospital Wenceslau Lopes,6.0,4.0
Hospital Infantil Noaldo Leite,6.0,0.0
Hospital Regional de Monteiro,5.0,3.0
Hospital Geral de Mamanguape,5.0,5.0
Hospital Regional de Guarabira,5.0,-1.0
Hospital Universitário HUJB,4.0,0.0
Hospital Regional De Cajazeiras,4.0,4.0
Hospital Municipal Valentina,4.0,3.0
Hospital Distrital Senador Ruy Carneiro,2.0,4.0
Antônio Targino,2.0,6.0
Hospital São Vicente de Paulo,0.0,8.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital Universitário Alcides Carneiro,0.0,1.0
Maternidade Frei Damiao - UCIN,0.0,5.0
