Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,40.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,3.0
Hospital Municipal Pedro I,22.0,17.0
Prontovida,14.0,21.0
Maternidade Frei Damiao,13.0,1.0
Complexo Hospitalar Dep Janduhy Carneiro,12.0,2.0
Hospital Municipal Santa Isabel,12.0,25.0
Maternidade Frei Damiao - UNIDADE II,12.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),12.0,8.0
Maternidade Frei Damiao - UNIDADE I,11.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,10.0,1.0
Instituto De Saude Elpidio De Almeida,8.0,2.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,8.0,4.0
Hospital de Trauma de Campina Grande,6.0,-5.0
Hospital Universitario Lauro Wanderley,5.0,9.0
Hospital Infantil Noaldo Leite,5.0,1.0
Antônio Targino,5.0,6.0
Hospital Regional de Guarabira,4.0,-1.0
Hospital Municipal Valentina,4.0,2.0
Hospital Wenceslau Lopes,4.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,7.0
Hospital Geral de Mamanguape,3.0,4.0
Hospital Regional De Cajazeiras,3.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),2.0,5.0
Hospital São Vicente de Paulo,0.0,5.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital Universitário HUJB,0.0,0.0
Hospital Universitário Alcides Carneiro,0.0,4.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital João XXIII,-5.0,3.0
NOVO Hospital de Clínicas do Estado da Paraíba,-8.0,15.0
