Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,42.0,0.0
Maternidade Frei Damiao - UNIDADE II,30.0,2.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,3.0
Prontovida,25.0,26.0
Maternidade Frei Damiao - UNIDADE I,20.0,1.0
Maternidade Frei Damiao,17.0,2.0
Hospital de Trauma de Campina Grande,17.0,-4.0
Hospital Municipal Santa Isabel,16.0,36.0
Hospital Municipal Pedro I,15.0,23.0
Complexo Hospitalar de Mangabeira (Ortotrauma),12.0,8.0
Hospital Metropolitano Dom Jose Maria Pires,12.0,8.0
Hospital Regional De Cajazeiras,10.0,0.0
Extensão CHDJC (Hosp Noaldo Leite),9.0,5.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,9.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,9.0,7.0
Hospital Universitario Lauro Wanderley,7.0,8.0
Hospital Municipal Valentina,7.0,3.0
Hospital Wenceslau Lopes,7.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,7.0,7.0
Instituto De Saude Elpidio De Almeida,6.0,2.0
Hospital João XXIII,5.0,2.0
Hospital Infantil Noaldo Leite,4.0,1.0
Hospital Regional de Guarabira,4.0,-2.0
Antônio Targino,3.0,2.0
Hospital Geral de Mamanguape,2.0,6.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital São Vicente de Paulo,0.0,6.0
Maternidade Frei Damiao - UTI NEO,0.0,10.0
Hospital Universitário HUJB,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Regional de Monteiro,-4.0,3.0
Hospital de Clínicas do Estado da Paraíba,-7.0,21.0
