Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,43.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,29.0,4.0
Complexo Hospitalar Dep Janduhy Carneiro,26.0,19.0
Prontovida,24.0,35.0
Hospital Municipal Pedro I,22.0,32.0
Maternidade Frei Damiao - UNIDADE II,19.0,3.0
Maternidade Frei Damiao,17.0,0.0
Maternidade Frei Damiao - UNIDADE I,16.0,4.0
Hospital de Trauma de Campina Grande,16.0,2.0
Instituto De Saude Elpidio De Almeida,14.0,6.0
Hospital Municipal Santa Isabel,13.0,41.0
Hospital Regional De Cajazeiras,12.0,5.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,10.0,8.0
Hospital Universitario Lauro Wanderley,9.0,3.0
Hospital Wenceslau Lopes,9.0,3.0
Hospital Regional de Guarabira,7.0,1.0
Hospital Geral de Mamanguape,7.0,3.0
Complexo Hospitalar de Mangabeira (Ortotrauma),7.0,8.0
NOVO Hospital de Clínicas do Estado da Paraíba,5.0,23.0
Hospital Infantil Noaldo Leite,5.0,2.0
Hospital Metropolitano Dom Jose Maria Pires,5.0,10.0
Hospital Universitário HUJB,4.0,0.0
Hospital Distrital Senador Ruy Carneiro,3.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,3.0,1.0
Hospital Municipal Valentina,1.0,2.0
Hospital São Vicente de Paulo,1.0,3.0
Hospital Universitário Alcides Carneiro,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital João XXIII,0.0,7.0
Maternidade Frei Damiao - UCIN,0.0,5.0
