Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,63.0,36.0
Hospital São Luis,47.0,0.0
Maternidade Frei Damiao - UNIDADE II,32.0,5.0
Hospital Municipal Santa Isabel,31.0,56.0
Hospital Municipal Dr Severino Bezerra De Carvalho,28.0,4.0
Prontovida,28.0,31.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,25.0,10.0
Complexo Hospitalar Dep Janduhy Carneiro,24.0,10.0
Maternidade Frei Damiao - UNIDADE I,24.0,3.0
Hospital de Clínicas do Estado da Paraíba,22.0,40.0
Maternidade Frei Damiao,19.0,3.0
Complexo Hospitalar de Mangabeira (Ortotrauma),14.0,10.0
Hospital de Trauma de Campina Grande,13.0,2.0
Extensão CHDJC (Hosp Noaldo Leite),12.0,5.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,12.0,13.0
Hospital Metropolitano Dom Jose Maria Pires,11.0,18.0
Hospital Wenceslau Lopes,11.0,4.0
Hospital Geral de Mamanguape,10.0,4.0
Hospital João XXIII,8.0,7.0
Instituto De Saude Elpidio De Almeida,7.0,5.0
Hospital Infantil Noaldo Leite,6.0,2.0
Hospital Regional De Cajazeiras,5.0,10.0
Hospital Distrital Senador Ruy Carneiro,5.0,2.0
Hospital Universitário HUJB,4.0,0.0
Hospital Universitario Lauro Wanderley,4.0,10.0
Hospital Municipal Valentina,4.0,4.0
Antônio Targino,4.0,8.0
Hospital Regional de Guarabira,4.0,1.0
Hospital Regional de Monteiro,3.0,3.0
Hospital São Vicente de Paulo,0.0,7.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,9.0
Hospital Universitário Alcides Carneiro,0.0,6.0
