Unidade Hospitalar,Enfermaria,UTI
Hospital São Luis,36.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,4.0
Hospital de Trauma de Campina Grande,16.0,-2.0
Hospital Municipal Santa Isabel,14.0,19.0
Maternidade Frei Damiao,12.0,2.0
Instituto De Saude Elpidio De Almeida,8.0,5.0
Hospital Universitario Lauro Wanderley,8.0,6.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,8.0,2.0
Prontovida,6.0,26.0
Maternidade Frei Damiao - UNIDADE I,5.0,1.0
Hospital Regional de Guarabira,5.0,0.0
Hospital Regional De Cajazeiras,4.0,4.0
Complexo Hospitalar de Mangabeira (Ortotrauma),4.0,8.0
Hospital Metropolitano Dom Jose Maria Pires,4.0,3.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,1.0
Maternidade Frei Damiao - UNIDADE II,4.0,2.0
Hospital Universitário HUJB,4.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,3.0,1.0
Hospital Infantil Noaldo Leite,3.0,-1.0
Hospital Geral de Mamanguape,2.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),2.0,5.0
Hospital Wenceslau Lopes,1.0,-1.0
NOVO Hospital de Clínicas do Estado da Paraíba,1.0,15.0
Hospital Municipal Valentina,0.0,3.0
Maternidade Frei Damiao - UTI NEO,0.0,6.0
Hospital São Vicente de Paulo,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Municipal Pedro I,-6.0,34.0
Hospital João XXIII,-9.0,4.0
