Unidade Hospitalar,Enfermaria,UTI
Hospital Regional de Sousa,,
Hospital São Luis,39.0,0.0
Hospital Municipal Dr Severino Bezerra De Carvalho,27.0,3.0
Hospital Municipal Santa Isabel,16.0,18.0
Maternidade Frei Damiao - UNIDADE II,15.0,1.0
Prontovida,11.0,24.0
Hospital de Trauma de Campina Grande,9.0,-8.0
Hospital Municipal Pedro I,9.0,10.0
Instituto De Saude Elpidio De Almeida,9.0,4.0
Maternidade Frei Damiao - UNIDADE I,7.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,6.0,1.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,6.0,1.0
Complexo Hospitalar de Mangabeira (Ortotrauma),6.0,5.0
Maternidade Frei Damiao,6.0,2.0
Hospital Regional de Guarabira,6.0,-2.0
Hospital Infantil Noaldo Leite,5.0,-2.0
Hospital Universitario Lauro Wanderley,5.0,5.0
Hospital Universitário HUJB,4.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,4.0,1.0
Hospital Metropolitano Dom Jose Maria Pires,2.0,4.0
Hospital Regional De Cajazeiras,1.0,0.0
Hospital Municipal Valentina,1.0,1.0
Extensão CHDJC (Hosp Noaldo Leite),1.0,5.0
Hospital São Vicente de Paulo,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,1.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Antônio Targino,0.0,1.0
Maternidade Frei Damiao - UTI NEO,0.0,7.0
Hospital Geral de Mamanguape,-2.0,1.0
Hospital João XXIII,-2.0,3.0
Hospital Wenceslau Lopes,-4.0,-1.0
NOVO Hospital de Clínicas do Estado da Paraíba,-9.0,13.0
