Unidade Hospitalar,Enfermaria,UTI
Hospital Municipal Pedro I,76.0,29.0
Maternidade Frei Damiao,29.0,5.0
Hospital de Clínicas do Estado da Paraíba,25.0,12.0
Hospital Municipal Dr Severino Bezerra De Carvalho,23.0,5.0
Hospital Wenceslau Lopes,23.0,11.0
Instituto De Saude Elpidio De Almeida,16.0,7.0
Hospital Geral de Mamanguape,15.0,0.0
Complexo Hospitalar Dep Janduhy Carneiro,12.0,10.0
Hospital Regional De Cajazeiras,11.0,5.0
Hospital Municipal Valentina,10.0,0.0
Complexo De Doencas Infecto Contagiosas Clementino Fraga,8.0,8.0
Hospital Regional de Guarabira,6.0,0.0
Prontovida,5.0,10.0
Hospital Universitário HUJB,4.0,0.0
Hospital de Trauma de Campina Grande,4.0,0.0
Hospital Infantil Noaldo Leite,2.0,0.0
Hospital Universitario Lauro Wanderley,1.0,0.0
Maternidade Frei Damiao - UNIDADE I,0.0,0.0
Hospital São Vicente de Paulo,0.0,0.0
Antônio Targino,0.0,0.0
Hospital São Luis,0.0,0.0
Maternidade Frei Damiao - UNIDADE II,0.0,0.0
Hospital Regional de Monteiro,0.0,0.0
Hospital Estadual de Emergência e Trauma Sen. Humberto Lucena,0.0,0.0
Hospital Municipal Santa Isabel,0.0,0.0
Hospital Universitário Alcides Carneiro,0.0,0.0
Hospital Distrital Senador Ruy Carneiro,0.0,0.0
Hospital Metropolitano Dom Jose Maria Pires,0.0,3.0
Complexo Hospitalar de Mangabeira (Ortotrauma),0.0,0.0
Maternidade Frei Damiao - UCIN,0.0,5.0
Extensão CHDJC (Hosp Noaldo Leite),0.0,0.0
Hospital Regional de Sousa,0.0,0.0
Maternidade Frei Damiao - UTI NEO,0.0,4.0
Hospital João XXIII,0.0,0.0
